nombre,url,gif_url,tipo_ejercicio,grupo_muscular,musculos_involucrados,equipamiento,dificultad_actual,dificultad_maxima,instrucciones
Golpes alternos,https://fitcron.com/exercise/golpes-alternos-cardio/,https://fitcron.com/wp-content/uploads/2021/03/35311301-Alternate-Punching_Cardio_720.gif,Cardio,Todos,,Ninguno,1,3,"[""De pie con las piernas firmes sin movernos del sitio, procedemos a lanzar puñetazos al frente alternando ambos brazos."",""Se trata de un calentamiento típico del boxeo.""]"
Half Wipers con piernas estiradas,https://fitcron.com/exercise/half-wipers-con-piernas-estiradas/,https://fitcron.com/wp-content/uploads/2024/05/12491301-Wipers-straight-leg_Waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos",Ninguno,3,3,"[""Acuéstate boca arriba con los brazos extendidos hacia los lados y las palmas hacia abajo."",""Levanta las piernas rectas hacia arriba."",""Lentamente, gira las piernas hacia un lado, manteniéndolas rectas."",""Detén el movimiento cuando las piernas estén cerca del suelo, pero sin tocarlo, y luego vuelve a la posición inicial."",""Repite el movimiento hacia el otro lado."",""Este ejercicio trabaja los oblicuos y abdominales, mejorando la estabilidad del core y la flexibilidad de la cadera.""]"
Half Wipers con piernas flexionadas,https://fitcron.com/exercise/half-wipers-con-piernas-flexionadas/,https://fitcron.com/wp-content/uploads/2024/05/12481301-Half-Wipers-bent-leg_Waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos",Ninguno,2,3,"[""Acuéstate boca arriba con los brazos extendidos hacia los lados y las palmas hacia abajo."",""Levanta las piernas, doblando las rodillas a 90 grados."",""Gira las piernas lentamente hacia un lado, manteniendo las rodillas dobladas."",""Detén el movimiento cuando las rodillas estén cerca del suelo, pero sin tocarlo, y luego vuelve a la posición inicial."",""Repite el movimiento hacia el otro lado."",""Este ejercicio trabaja los oblicuos y abdominales, mejorando la estabilidad del core y la flexibilidad de la cadera.""]"
Hand Grip,https://fitcron.com/exercise/hand-grip-antebrazo/,https://fitcron.com/wp-content/uploads/2021/03/33451301-Hand-Spring-Wrist-Curl_Hands_720.gif,Fuerza,Antebrazo,Antebrazo,Otro,1,3,"[""Colocar los cuatro dedos a lo largo de un mango, sujetando el otro mango con la palma."",""El pulgar debe quedar libre, apenas apoyando el movimiento."",""El objetivo es cerrar la mano lentamente por completo y luego abrirla lentamente.""]"
Hip Thrust Aislado con Barra,https://fitcron.com/exercise/elevacion-de-gluteo-aislado-con-barra-pierna/,https://fitcron.com/wp-content/uploads/2021/04/10611301-Barbell-one-leg-hip-thrust_Hips_720.gif,Fuerza,Pierna,"Glúteo, Aductor, Cuádriceps, Gemelo","Banco Plano, Barra Larga",2,3,"[""Tumbado hacia arriba en el suelo con las piernas flexionadas, ponte una barra sobre la cadera."",""Apoya la parte alta de la espalda sobre un banco."",""Eleva la pelvis con una sola pierna tensando bien el glúteo arriba, con la espalda sobre el banco.""]"
Hip Thrust con Banda,https://fitcron.com/exercise/elevacion-de-gluteos-con-banda-pierna/,https://fitcron.com/wp-content/uploads/2021/04/14081301-Band-Hip-Lift_Hips_720.gif,Fuerza,Pierna,"Glúteo, Aductor, Cuádriceps, Gemelo",Bandas,2,3,"[""Tumbado hacia arriba en el suelo con las piernas flexionadas, abre los brazos hacia los lados formando un ángulo de 45° con el cuerpo."",""Con las manos hacia abajo, ponlas sobre una banda que pase por tu cadera tensando lo que consideres oportuno."",""Eleva la pelvis tensando bien los glúteos arriba."",""Puedes poner las manos sobre discos o alguna plataforma para alcanzar más elevación.""]"
Hip Thrust con Barra,https://fitcron.com/exercise/elevacion-de-gluteos-con-barra-pierna/,https://fitcron.com/wp-content/uploads/2021/04/29641301-Barbell-Glute-Bridge-hands-on-bar_Hips_720.gif,Fuerza,Pierna,"Glúteo, Aductor, Cuádriceps, Gemelo",Barra Larga,2,3,"[""Tumbado hacia arriba en el suelo con las piernas flexionadas, ponte una barra sobre la cadera."",""Eleva la pelvis tensando bien los glúteos arriba.""]"
Hip Thrust con Mancuerna,https://fitcron.com/exercise/elevacion-de-gluteos-con-mancuerna-pierna/,https://fitcron.com/wp-content/uploads/2021/04/33351301-Dumbbell-Glute-Bridge_Hip_720.gif,Fuerza,Pierna,"Glúteo, Aductor, Cuádriceps, Gemelo",Mancuernas,2,3,"[""Tumbado hacia arriba en el suelo con las piernas flexionadas, ponte una mancuerna sobre la cadera."",""Eleva la pelvis tensando bien los glúteos arriba.""]"
Hip Thrust Declinado con Barra,https://fitcron.com/exercise/elevacion-de-gluteos-inferior-con-barra-pierna/,https://fitcron.com/wp-content/uploads/2021/04/35621301-Barbell-Glute-Bridge-Two-Legs-on-Bench-male_Hips_720.gif,Fuerza,Pierna,"Glúteo, Aductor, Cuádriceps, Gemelo","Banco Plano, Barra Larga",2,3,"[""Tumbado hacia arriba en el suelo con las piernas flexionadas, ponte una barra sobre la cadera."",""Apoya los pies sobre un banco plano."",""Eleva la pelvis tensando bien los glúteos arriba, con los pies sobre el banco.""]"
Hip Thrust Inclinado con Barra,https://fitcron.com/exercise/elevacion-de-gluteos-superior-con-barra-pierna/,https://fitcron.com/wp-content/uploads/2021/04/10601301-Barbell-Hip-Thrust_Hips_720.gif,Fuerza,Pierna,"Glúteo, Aductor, Cuádriceps, Gemelo","Banco Plano, Barra Larga",2,3,"[""Tumbado hacia arriba en el suelo con las piernas flexionadas, ponte una barra sobre la cadera."",""Apoya la parte alta de la espalda sobre un banco."",""Eleva la pelvis tensando bien los glúteos arriba, con la espalda sobre el banco.""]"
Hiperextensiones,https://fitcron.com/exercise/hiperextensiones-lumbar/,https://fitcron.com/wp-content/uploads/2021/04/18601301-Hyperextension-VERSION-2_Hips_720.gif,Fuerza,Espalda,"Trapecio, Lumbar",Otro,2,3,"[""Colócate hacia abajo en el banco plano con sujeción de los tobillos y la cadera apoyada."",""Pon las manos en el pecho o tras la cabeza."",""Flexiona el torso hasta que el cuerpo forme un ángulo de 90 grados."",""Desde esta posición de flexión debes efectuar una extensión mientras levantas el torso hasta que el cuerpo queda en línea recta nuevamente y en la zona lumbar se forma una curva levemente acentuada."",""Vuelve a descender mientras tomas aire y cuando extiendes el torso exhala el aire."",""Puedes sujetar un disco en el pecho para incrementar la dificultad.""]"
Hiperextensiones en Fitball,https://fitcron.com/exercise/hiperextensiones-en-fitball-lumbar/,https://fitcron.com/wp-content/uploads/2021/04/13141301-Back-Extension-on-Exercise-Ball_Back_720.gif,Fuerza,Espalda,"Abdomen, Lumbar",Fitball,2,3,"[""Coloca una Pelota Suiza delante de ti y arrodíllate."",""Inclínate hacia adelante, colocando la parte superior de las caderas y el estómago sobre la Pelota Suiza."",""Estira las piernas hacia atrás."",""Empieza con la cabeza levantada, la espalda estirada, el pecho separado de la pelota y las manos detrás de la cabeza."",""Baja el pecho y la cabeza hasta notar un buen estiramiento en los isquiotibiales y luego contrae la parte inferior de la espalda para volver a la posición inicial.""]"
Hiperextensiones en Máquina,https://fitcron.com/exercise/hiperextensiones-en-maquina-lumbar/,https://fitcron.com/wp-content/uploads/2021/04/05731301-Lever-Back-Extension_Waist_720.gif,Fuerza,Espalda,"Abdomen, Trapecio, Lumbar",Máquina,2,3,"[""Colócate en la máquina con sujeción de los tobillos y la espalda apoyada."",""Pon las manos en el pecho o tras la cabeza."",""Flexiona la cadera hacia atrás y retrocede lentamente.""]"
Hiperextensiones Inclinadas,https://fitcron.com/exercise/hiperextensiones-inclinadas-lumbar/,https://fitcron.com/wp-content/uploads/2021/04/04891301-Hyperextension_Waist_720.gif,Fuerza,Espalda,"Trapecio, Lumbar, Glúteo",Otro,1,3,"[""Colócate hacia abajo en el banco inclinado con sujeción de los tobillos y la cadera apoyada."",""Pon las manos en el pecho o tras la cabeza."",""Flexiona el torso hasta que el cuerpo forme un ángulo de 90 grados."",""Desde esta posición de flexión debes efectuar una extensión mientras levantas el torso hasta que el cuerpo queda en línea recta nuevamente y en la zona lumbar se forma una curva levemente acentuada."",""Vuelve a descender mientras tomas aire y cuando extiendes el torso exhala el aire.""]"
Hollow Hold,https://fitcron.com/exercise/hollow-hold/,https://fitcron.com/wp-content/uploads/2024/05/12461301-Hollow-Hold_Waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos, Cuádriceps",Ninguno,3,3,"[""Acuéstate boca arriba con los brazos extendidos sobre la cabeza y las piernas rectas."",""Levanta los hombros y las piernas del suelo, manteniendo la parte baja de la espalda en contacto con el suelo."",""Contrae los músculos abdominales para mantener la posición y forma un arco en el cuerpo, manteniendo el abdomen y las piernas activados."",""Mantén la posición durante el tiempo deseado, respirando de manera controlada."",""Este ejercicio fortalece los músculos abdominales, especialmente los profundos, y ayuda a mejorar la estabilidad del core.""]"
Inclinación diagonal en Polea,https://fitcron.com/exercise/inclinacion-diagonal-en-polea-abdomen/,https://fitcron.com/wp-content/uploads/2021/04/08621301-Cable-twist-up-down_Waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos",Polea,3,3,"[""De pie con la espalda recta y las piernas a la anchura aproximada de la cadera, ponte a un lado de la polea alta."",""Coge el soporte con las dos manos y los dedos entrelazados a un lado del cuerpo, con los brazos extendidos."",""Flexiona el tronco lateralmente hacia abajo del lado contrario, girando el torso y bajando los brazos completamente en diagonal.""]"
Jackknife Sit-Up,https://fitcron.com/exercise/jackknife-sit-up/,https://fitcron.com/wp-content/uploads/2024/05/05071301-Jackknife-Sit-Up_waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos",Ninguno,3,3,"[""Acuéstate boca arriba sobre una estera con los brazos extendidos por encima de la cabeza y las piernas rectas."",""A medida que inhalas, contrae los abdominales y levanta simultáneamente los brazos y las piernas del suelo, manteniéndolos rectos."",""Dirige tus manos hacia tus pies, intentando tocarlos mientras elevas el torso y las piernas."",""Mantén la posición por un momento y luego baja lentamente el torso y las piernas de vuelta al suelo."",""Este ejercicio trabaja los músculos abdominales superiores e inferiores, así como los flexores de la cadera.""]"
Jalón Abierto Doble Neutro en Polea Alta,https://fitcron.com/exercise/jalon-abierto-doble-neutro-en-polea-alta-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/33581301-Cable-Parallel-Grip-Lat-Pulldown-on-Floor_Back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps",Polea,2,3,"[""Sentado o de rodillas entre dos poleas altas y con la espalda recta, estira los brazos hacia arriba y coge los soportes con las manos hacia el interior."",""Flexiona los brazos bajando las manos a la altura aproximada de los hombros."",""Estira de nuevo de forma controlada.""]"
Jalón Abierto en Pronación en Polea Alta,https://fitcron.com/exercise/jalon-abierto-en-pronacion-en-polea-alta-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/01971301-Cable-Pulldown-pro-lat-bar_Back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps","Banco Plano, Polea",2,3,"[""Sentado de cara a la polea con la espalda recta, estira los brazos hacia arriba y coge la barra con las manos a una anchura muy superior a la de los hombros y las manos hacia delante."",""Flexiona los brazos bajando la barra al mentón."",""Estira de nuevo de forma controlada.""]"
Jalón Abierto en Supinación en Polea Alta,https://fitcron.com/exercise/jalon-abierto-en-supinacion-en-polea-alta-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/02451301-Cable-Underhand-Pulldown_Back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps","Banco Plano, Polea",2,3,"[""Sentado de cara a la polea con la espalda recta, estira los brazos hacia arriba y coge la barra con las manos a una anchura mayor a la de los hombros y las manos hacia atrás."",""Flexiona los brazos llevando los codos a los costados y bajando la barra hasta el pecho."",""Estira de nuevo de forma controlada.""]"
Jalón Abierto Neutro en Polea Alta,https://fitcron.com/exercise/jalon-abierto-neutro-en-polea-alta-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/42171301-Cable-Wide-Neutral-Grip-PullDown_Back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps","Banco Plano, Polea",3,3,"[""Sentado de cara a la polea con la espalda recta, estira los brazos hacia arriba y coge la barra con las manos a una anchura muy superior a la de los hombros y las manos hacia el interior."",""Flexiona los brazos bajando las manos a la altura aproximada de los hombros."",""Estira de nuevo de forma controlada.""]"
Jalón Aislado en Polea Alta,https://fitcron.com/exercise/jalon-aislado-en-polea-alta-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/00071301-Alternate-Lateral-Pulldown_back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps",Polea,2,3,"[""Sentado en un banco o similar, con la espalda recta, coge la polea alta con un brazo estirado y la palma de la mano hacia delante."",""Flexiona el brazo llevando el codo al costado y estira de nuevo de forma controlada.""]"
Jalón Aislado Prono-Neutro en Polea Alta,https://fitcron.com/exercise/jalon-aislado-prono-neutro-en-polea-alta-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/12041301-Cable-one-arm-lat-pulldown_back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps","Banco Plano, Polea",2,3,"[""Sentado delante de la polea alta, estira un brazo hacia arriba y coge el agarre con la palma de la mano hacia delante."",""Baja el codo hacia el costado girando la mano hacia el interior y vuelve a subir de forma controlada sin llegar a descansar.""]"
Jalón Aislado Prono-Supino en Polea Alta,https://fitcron.com/exercise/jalon-aislado-prono-supino-en-polea-alta-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/01931301-Cable-One-Arm-Straight-Back-High-Row-kneeling_Back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps","Banco Plano, Polea",2,3,"[""Sentado o de rodillas delante de la polea alta, estira un brazo hacia arriba y coge el agarre con la palma de la mano hacia delante."",""Baja el codo hacia el costado girando la mano 180º de forma que quede la palma hacia el cuerpo y vuelve a subir de forma controlada sin llegar a descansar.""]"
Jalón Cerrado con Cuerda en Polea Alta,https://fitcron.com/exercise/jalon-cerrado-con-cuerda-en-polea-alta-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/01771301-Cable-Lateral-Pulldown-with-rope-attachment_Back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps","Banco Plano, Polea",2,3,"[""Sentado de cara a la polea con la espalda recta, estira los brazos hacia arriba y coge la cuerda con agarre en martillo."",""Flexiona los brazos llevando los codos a los costados y bajando las manos al esternón."",""Estira de nuevo de forma controlada.""]"
Jalón Cerrado en Pronación en Polea Alta,https://fitcron.com/exercise/jalon-cerrado-en-pronacion-en-polea-alta-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/10471301-Cable-Close-Grip-Front-Lat-Pulldown_Back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps","Banco Plano, Polea",2,3,"[""Sentado de cara a la polea con la espalda recta, estira los brazos hacia arriba y coge la barra con las manos a una anchura inferior a la de los hombros y las manos hacia delante."",""Flexiona los brazos llevando los codos a los costados y bajando la barra hasta el pecho."",""Estira de nuevo de forma controlada.""]"
Jalón Cerrado Neutro con Inclinación en Polea Alta,https://fitcron.com/exercise/jalon-cerrado-neutro-con-inclinacion-en-polea-alta-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/02131301-Cable-Seated-High-Row-V-bar_Back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps","Banco Plano, Polea",2,3,"[""Sentado de cara a la polea con la espalda recta, estira los brazos hacia arriba y coge el soporte con agarre en martillo."",""Flexiona los brazos llevando los codos a los costados y bajando el soporte hasta el pecho mientras te inclinas hacia atrás."",""Estira de nuevo de forma controlada.""]"
Jalón Cerrado Neutro en Polea Alta,https://fitcron.com/exercise/jalon-cerrado-neutro-en-polea-alta-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/26161301-Cable-Lateral-Pulldown-with-V-bar_Back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps","Banco Plano, Polea",2,3,"[""Sentado de cara a la polea con la espalda recta, estira los brazos hacia arriba y coge el soporte con agarre en martillo."",""Flexiona los brazos llevando los codos a los costados y bajando el soporte hasta el pecho."",""Estira de nuevo de forma controlada.""]"
Jalón en Pronación en Máquina,https://fitcron.com/exercise/jalon-en-pronacion-en-maquina-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/05791301-Lever-Front-Pulldown_Back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps",Máquina,1,3,"[""Sentado y con el pecho apoyado, estira los brazos hacia arriba y coge los agarres con las manos en pronación (palmas hacia delante)."",""Realiza la flexión de los codos llevando las manos hacia abajo con retracción escapular al final del movimiento."",""Asciende lentamente sin llegar a apoyar el peso al final y vuelve a bajar.""]"
Jalón en Pronación en Polea Alta,https://fitcron.com/exercise/jalon-en-pronacion-en-polea-alta-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/01981301-Cable-Pulldown_Back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps","Banco Plano, Polea",1,3,"[""Sentado de cara a la polea con la espalda recta, estira los brazos hacia arriba y coge la barra con las manos a la anchura de los hombros y las manos hacia delante."",""Flexiona los brazos llevando los codos a los costados y bajando la barra al pecho."",""Estira de nuevo de forma controlada.""]"
Jalón en Supinación con Bandas,https://fitcron.com/exercise/jalon-en-supinacion-con-bandas-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/31161301-Band-Fixed-Back-Underhand-Pulldown_Back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps",Bandas,1,3,"[""Sentado en un banco o similar, pon las bandas en un lugar alto."",""Con la espalda recta, estira los brazos hacia arriba y agarra los extremos con las manos en supinación (palmas hacia arriba)."",""Flexiona los codos llevándolos a los costados y sacando pecho.""]"
Jalón en Supinación en Máquina,https://fitcron.com/exercise/jalon-en-supinacion-en-maquina-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/06731301-reverse-grip-machine-lat-pulldown_Back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps",Máquina,1,3,"[""Sentado y con el pecho apoyado, estira los brazos hacia arriba y coge los agarres con las manos en supinación (palmas hacia atrás)."",""Realiza la flexión de los codos llevando las manos hacia abajo con retracción escapular al final del movimiento."",""Asciende lentamente sin llegar a apoyar el peso al final y vuelve a bajar.""]"
Jalón en Supinación en Polea Alta,https://fitcron.com/exercise/jalon-en-supinacion-en-polea-alta-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/02081301-Cable-Reverse-grip-Straight-Back-Seated-High-Row_Back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps","Banco Plano, Polea",1,3,"[""Sentado de cara a la polea con la espalda recta, estira los brazos hacia arriba y coge la barra con las manos a la anchura de los hombros y las manos hacia atrás."",""Flexiona los brazos llevando los codos a los costados y bajando la barra hasta el pecho."",""Estira de nuevo de forma controlada.""]"
Jalón Neutro con Bandas,https://fitcron.com/exercise/jalon-neutro-con-bandas-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/31171301-Band-Fixed-Back-Close-Grip-Pulldown_Back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps",Bandas,2,3,"[""Sentado en un banco o similar, pon las bandas en un lugar alto."",""Con la espalda recta, estira los brazos hacia arriba y agarra los extremos con las manos en martillo o neutras (palmas hacia dentro)."",""Flexiona los codos llevándolos a los costados y sacando pecho.""]"
Jalón Trasero Abierto en Pronación en Polea Alta,https://fitcron.com/exercise/jalon-trasero-abierto-en-pronacion-en-polea-alta-dorsal/,https://fitcron.com/wp-content/uploads/2021/04/13251301-Cable-Wide-Grip-Rear-Pulldown-Behind-Neck_Back_720.gif,Fuerza,Espalda,"Dorsal, Trapecio, Bíceps","Banco Plano, Polea",1,3,"[""Sentado de cara a la polea con la espalda recta, estira los brazos hacia arriba y coge la barra con las manos a una anchura mayor a la de los hombros y las manos hacia delante."",""Flexiona los brazos llevando los codos a los costados y bajando la barra tras la cabeza."",""Estira de nuevo de forma controlada.""]"
Janda Sit-up,https://fitcron.com/exercise/janda-sit-up/,https://fitcron.com/wp-content/uploads/2024/05/05081301-Janda-Sit-up_Waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos",Ninguno,2,3,"[""Siéntate en el suelo con las piernas ligeramente flexionadas, los brazos entrelazados en el pecho pero con los codos perpendiculares, sin apoyar."",""Deslízate hacia atrás manteniendo el control, luego utiliza los músculos abdominales para levantar el torso de nuevo."",""Concéntrate en activar los abdominales, evita el impulso y repite el movimiento."",""Este ejercicio fortalece el core y las caderas.""]"
Jumping Jacks,https://fitcron.com/exercise/jumping-jacks-cardio/,https://fitcron.com/wp-content/uploads/2021/03/30941301-Jumping-Jack-male_Cardio_720.gif,Cardio,Todos,,Ninguno,1,3,"[""Comienza de pie con los pies juntos."",""Con un solo movimiento, dando un pequeño salto, abre los pies hacia los lados y levanta los brazos por encima de la cabeza."",""Inmediatamente invierte el movimiento volviendo a la posición inicial.""]"
Krankcycle,https://fitcron.com/exercise/krankcycle-cardio/,https://fitcron.com/wp-content/uploads/2021/03/21391301-Hands-bike_Cardio_720.gif,Cardio,Todos,,Máquina,1,3,"[""El KRANKcycle es una bicicleta de mano que permite entrenar de manera aeróbica la parte superior del cuerpo."",""Es un tipo de ejercicio físico que permite efectuar un entrenamiento aeróbico con una actividad centrada en los brazos y la parte superior del cuerpo.""]"
Máquina de Remo,https://fitcron.com/exercise/maquina-de-remo-cardio/,https://fitcron.com/wp-content/uploads/2021/03/11611301-Rowing-with-rowing-machine_Cardio_720.gif,Cardio,Todos,,Máquina,2,3,"[""Con la espalda recta, núcleo compacto y los pies firmes, empuja primero con la parte inferior del cuerpo y a continuación utiliza la espalda para tirar las manos hacia el pecho."",""Después, suelta los brazos hacia la base y dobla las rodillas para que puedas deslizarte y volver a la posición inicial."",""A tener en cuenta: -Empuja con los hombros hacia atrás (para abrir el pecho) y hacia abajo (para liberar tensión en el cuello)."",""Mantén la espalda recta mediante la participación de núcleo y una respiración profunda. -Usa los músculos de la espalda superior para tirar del remo hacia el pecho."",""Al final de cada remada, los codos deberán doblarse más de 90 grados y los antebrazos deberán tocar casi la caja torácica. -Coloca las manos en la parte exterior del remo (no en el centro)."",""El meñique debe estar fuera, descansando los pulgares en la parte superior del mango (no los envuelvas alrededor). -Cada vez que tires hacia atrás, recuerda que debes utilizar tu parte superior de la espalda, no los hombros y el bíceps."",""Esto ayudará a aliviar la presión de tus manos.""]"
Máquina de Step,https://fitcron.com/exercise/maquina-de-step-cardio/,https://fitcron.com/wp-content/uploads/2021/03/21401301-Walk-Wave-Machine_Cardio_720.gif,Cardio,Todos,,Máquina,1,3,"[""Los pies se deben mantener firmes pisando de una manera natural, relajando tus rodillas en todo momento."",""Evita pararte en puntillas."",""La postura correcta de tu cuerpo es con una ligera inclinación hacia adelante mientras se mantienen contraídos los músculos abdominales.""]"
Máquina Elíptica,https://fitcron.com/exercise/maquina-eliptica-cardio/,https://fitcron.com/wp-content/uploads/2021/03/21921301-Elliptical-Machine-Walk_Cardio_720.gif,Cardio,Todos,,Máquina,2,3,"[""La elíptica es uno de los equipos de cardio que más músculos permite trabajar al mismo tiempo."",""Aumenta la fuerza y la resistencia muscular en cuádriceps, isquiotibiales, glúteos y pantorrillas, pero también ejercita brazos, el pecho y la espalda al utilizar de forma activa las asas.""]"
Máquina Escaladora,https://fitcron.com/exercise/maquina-escaladora-cardio/,https://fitcron.com/wp-content/uploads/2021/03/23111301-Walking-on-Stepmill_Thighs_720.gif,Cardio,Todos,,Máquina,2,3,"[""La escaladora sirve principalmente para realizar un entrenamiento de cardio o de alta intensidad."",""Conforme el movimiento se realiza, el ritmo de tu corazón se eleva, ayudando a la resistencia cardiovascular."",""Intenta utilizar lo mínimo el apoyo de las manos y ve incrementando la intensidad según tus necesidades y objetivos.""]"
Marcha Horizontal Aislada con pierna extendida,https://fitcron.com/exercise/marcha-horizontal-aislada-con-pierna-extendida/,https://fitcron.com/wp-content/uploads/2024/05/34961301-Lying-Straight-Leg-Marches_Waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos, Glúteo, Aductor, Cuádriceps",Ninguno,2,3,"[""Túmbate hacia arriba, con las piernas extendidas y los brazos a los lados, contrae los abdominales y levanta ligeramente los glúteos."",""Levanta una pierna del suelo mientras mantienes la otra extendida y en contacto con el suelo."",""Baja la pierna levantada de manera controlada hasta llegar a la posición inicial."",""Mantén el movimiento controlado y constante durante el número deseado de repeticiones y luego cambia de pierna."",""Este ejercicio trabaja los músculos abdominales y puede ayudar a mejorar la estabilidad del core.""]"
Marcha Horizontal Alterna,https://fitcron.com/exercise/marcha-horizontal-alterna/,https://fitcron.com/wp-content/uploads/2024/05/39621301-Seated-Flutter-Kick_Waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos, Cuádriceps",Banco Plano,2,3,"[""Desde una posición sentada en un banco con el cuerpo perpendicular al asiento y las piernas extendidas frente a ti, contrae los abdominales y levanta el torso hacia adelante mientras levantas una pierna a la vez."",""Levanta ligeramente las piernas del suelo y realiza un movimiento de patada rápido y alternante con las piernas, como si estuvieras nadando estilo mariposa."",""Mantén el torso erguido y los abdominales contraídos durante todo el movimiento."",""Continúa el movimiento de patada durante el número deseado de repeticiones."",""Este ejercicio trabaja los músculos abdominales inferiores y puede ayudar a mejorar la resistencia del core.""]"
Marcha Horizontal Alterna con palmada,https://fitcron.com/exercise/crunch-alterno-sentado-con-palmada/,https://fitcron.com/wp-content/uploads/2024/05/39441301-Seated-Alternate-Crunch_Waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos, Cuádriceps",Banco Plano,3,3,"[""Desde una posición sentada en un banco con el cuerpo perpendicular al asiento y las piernas extendidas frente a ti, contrae los abdominales y levanta el torso hacia adelante mientras levantas una pierna a la vez."",""Trata de dar como una palmada debajo de la rodilla."",""Regresa a la posición inicial y repite el movimiento con la otra pierna, alternando entre lados."",""Mantén el movimiento controlado y continúa alternando las piernas durante el número deseado de repeticiones."",""Este ejercicio fortalece los músculos abdominales y oblicuos, proporcionando un entrenamiento efectivo para el core.""]"
Media Sentadilla con Barra,https://fitcron.com/exercise/media-sentadilla-con-barra-pierna/,https://fitcron.com/wp-content/uploads/2021/04/00261301-Barbell-Bench-Squat_Hips_720.gif,Fuerza,Pierna,"Glúteo, Aductor, Cuádriceps, Gemelo",Barra Larga,2,3,"[""De pie delante de un banco o silla, con las piernas separadas a la anchura de los hombros y una barra sobre el trapecio, ayudando a mantenerla con las manos a los lados de los hombros."",""Desciende flexionando las rodillas 90º hasta tocar el banco con los glúteos, sin descansar en él, subiendo de nuevo y estirando bien arriba.""]"
Media Sentadilla con Mancuernas,https://fitcron.com/exercise/media-sentadilla-con-mancuernas-pierna/,https://fitcron.com/wp-content/uploads/2021/04/02911301-Dumbbell-Bench-Squat_thighs_720.gif,Fuerza,Pierna,"Glúteo, Aductor, Cuádriceps, Gemelo","Banco Plano, Mancuernas",2,3,"[""De pie delante de un banco o silla, con las piernas separadas a la anchura de los hombros y una barra mancuerna en cada mano."",""Desciende flexionando las rodillas 90º hasta tocar el banco con los glúteos, sin descansar en él, subiendo de nuevo y estirando bien arriba.""]"
Mountain Climbers,https://fitcron.com/exercise/mountain-climbers-cardio/,https://fitcron.com/wp-content/uploads/2021/03/06301301-Mountain-Climber_Cardio_720.gif,Cardio,Todos,,Ninguno,2,3,"[""A partir de esa postura, comienza el movimiento consistente en llevar de manera alterna las rodillas hacia el codo opuesto, es decir, elevar la rodilla izquierda hacia el codo derecho por debajo del cuerpo y la derecha hacia el codo izquierdo de igual modo."",""El cambio de pierna se realiza mediante salto explosivo, si bien para ejecutarlo correctamente se necesita partir de una forma física inicial adecuada."",""Para aquellos que están comenzando a introducirse en el mundo deportivo es mejor practicarlo marcando el gesto sin salto y modificando el ritmo.""]"
